market_sentiment,price_change_pct,price_direction,unnamed
3.92,0.15,0,1
7.46,-1.35,1,1
3.19,-3.4,0,1
1.19,-0.68,0,1
3.47,4.51,1,1
2.72,-4.85,0,1
2.85,4.34,0,0
5.59,-0.12,0,0
8.79,3.29,1,0
6.05,-1.75,0,1
3.6,-1.64,0,0
2.11,-0.76,0,0
1.0,-3.84,0,0
1.66,4.15,1,0
2.12,4.88,1,0
7.05,3.01,1,0
5.71,2.45,1,0
1.86,-1.09,0,0
1.86,2.93,1,0
4.96,2.13,0,0
7.12,-4.83,0,0
3.87,2.4,1,1
5.58,3.84,1,1
6.23,-0.68,0,1
8.05,-1.74,1,0
4.09,1.15,0,0
9.66,0.1,1,1
6.72,-4.94,0,1
1.23,-2.1,0,1
6.45,1.52,1,0
8.44,-2.77,0,0
3.46,-4.92,0,0
4.12,-0.78,0,1
7.48,-4.76,0,1
6.68,-0.39,1,0
8.73,3.81,1,0
3.07,0.88,0,0
7.4,1.18,0,1
9.54,1.28,1,1
1.86,-4.5,0,1
2.98,3.63,1,0
4.83,4.98,1,0
5.86,-4.24,0,1
9.74,0.02,1,0
9.56,0.85,1,0
3.49,-2.81,0,1
9.58,1.82,1,1
6.25,-0.46,0,1
5.28,1.44,1,1
2.29,0.18,0,0
8.13,2.63,1,1
2.75,-2.04,0,1
2.18,4.64,1,1
8.36,-3.27,0,1
5.5,-3.81,0,1
9.75,-4.12,0,1
9.15,-1.73,1,0
7.8,1.61,1,1
5.71,0.35,0,1
9.9,1.45,1,1
9.96,-4.15,0,0
5.11,0.16,1,0
6.76,1.48,1,1
9.28,3.49,1,0
8.31,1.77,1,0
8.88,-3.5,0,0
6.35,1.18,1,0
8.7,4.86,1,1
9.18,1.89,1,0
4.99,4.29,1,1
8.61,-4.07,0,0
6.04,-3.93,0,0
3.99,3.64,1,0
7.54,-1.67,0,1
8.27,2.82,1,0
2.23,-2.41,0,0
5.62,-3.28,0,1
4.01,1.09,0,1
7.82,4.2,1,0
5.04,-1.5,0,0
4.19,-3.63,0,0
2.72,-2.52,0,0
9.13,-3.03,0,0
7.28,-1.27,0,1
9.74,-4.17,0,0
4.48,4.04,1,0
2.47,-0.89,0,0
5.41,-3.15,0,1
2.72,0.97,0,0
5.61,-4.08,0,0
8.35,-2.65,0,0
5.21,3.13,1,0
8.13,-4.37,0,0
7.84,3.18,1,0
1.72,0.84,0,0
5.1,-1.3,0,0
3.01,-4.58,0,1
6.04,4.54,1,0
2.12,-3.61,0,1
4.75,2.99,1,0
4.41,0.98,1,0
4.46,0.86,0,0
9.59,3.53,1,0
7.39,0.67,1,1
1.95,4.74,1,0
8.26,-2.98,0,0
4.81,4.43,1,1
2.05,1.17,0,1
3.93,-0.22,0,1
4.88,-4.31,0,1
2.73,-0.21,0,0
1.8,0.94,0,0
8.96,-1.55,0,1
5.69,1.17,1,0
9.25,-0.75,1,1
6.13,-1.14,0,0
7.75,3.78,1,1
9.63,-1.32,1,0
8.02,2.0,1,0
4.41,1.69,1,1
4.65,4.18,1,1
9.48,-0.39,1,0
7.97,-4.16,0,0
1.29,3.34,1,0
1.98,-4.89,0,0
2.06,3.65,1,1
8.62,-0.11,1,1
5.76,0.15,0,0
9.84,1.26,1,0
3.3,1.1,1,1
8.0,4.51,1,0
1.31,-3.5,0,1
5.04,-0.01,1,0
6.15,-2.48,0,0
7.34,-4.19,0,1
1.13,-0.04,0,1
3.37,2.58,1,0
1.05,-3.22,0,1
8.29,-3.88,0,1
8.28,4.92,1,1
4.27,3.24,1,1
5.35,-0.67,0,0
8.6,1.41,1,0
7.59,-2.59,0,1
8.39,-3.15,1,0
6.76,-2.45,0,1
