name,rating,reviews,salary,interviews,jobs,benefits
TCS,3.3,120000.0,1040000.0,11400.0,5000.0,11000.0
Accenture,3.7,76200.0,730000.0,9600.0,14500.0,7000.0
Wipro,3.6,67100.0,490000.00000000006,7000.0,2.0,4900.0
Cognizant,3.7,63400.0,610000.0,6600.0,873.0,5700.0
Capgemini,3.6,55600.0,500000.0,5700.0,2100.0,3900.0
HDFC Bank,3.8,54700.0,150000.0,3200.0,529.0,3400.0
Infosys,3.5,50500.0,530000.0,8600.0,3400.0,4900.0
HCLTech,3.4,48300.0,400000.0,4700.0,280.0,4000.0
ICICI Bank,4.0,47200.0,160000.0,3000.0,17.0,3800.0
Tech Mahindra,3.3,44800.0,290000.0,4700.0,779.0,3500.0
Genpact,3.6,44000.0,240000.0,4000.0,515.0,3700.0
TP,3.9,40200.0,100000.0,2300.0,1500.0,2000.0
Axis Bank,3.6,34600.0,100000.0,2000.0,218.0,2200.0
Jio,4.4,34300.0,61100.0,4600.0,,2600.0
Concentrix Corporation,3.5,33300.0,130000.0,2100.0,29.0,3200.0
Amazon,3.9,32800.0,160000.0,6200.0,83.0,3400.0
Reliance Retail,3.9,28100.0,74900.0,2000.0,78.0,1900.0
iEnergizer,4.5,27900.0,25300.0,1700.0,78.0,896.0
LTM Limited,3.6,27400.0,200000.0,3500.0,699.0,892.0
HDB Financial Services,3.9,26600.0,49300.0,1100.0,4.0,1400.0
IBM,3.9,26600.0,220000.00000000003,2700.0,238.0,2600.0
Larsen & Toubro Limited,3.9,24800.0,77000.0,2000.0,265.0,2600.0
Deloitte,3.6,24400.0,280000.0,3400.0,619.0,2500.0
Kotak Mahindra Bank,3.6,23300.0,89000.0,1500.0,201.0,1300.0
Reliance Industries,4.0,20900.0,76100.0,1700.0,107.0,1900.0
Vodafone Idea,3.9,18000.0,48700.0,718.0,86.0,2000.0
Bharti Airtel,3.8,17600.0,50200.0,1200.0,170.0,1600.0
BYJU'S,3.2,16400.0,49600.0,2100.0,5.0,1700.0
WNS,3.3,15800.0,71200.0,1300.0,51.0,1400.0
IDFC FIRST Bank,4.0,15700.0,51600.0,1100.0,42.0,825.0
Ernst & Young,3.4,15300.0,150000.0,1400.0,2700.0,1100.0
IndusInd Bank,3.4,14800.0,53000.0,799.0,186.0,824.0
AU Small Finance Bank,3.8,14700.0,30800.0,735.0,131.0,621.0
Tata Motors,4.1,14600.0,44400.0,1300.0,23.0,1700.0
Bajaj Finserv,3.9,13800.0,32600.0,834.0,17.0,749.0
Flipkart,3.9,13500.0,57800.0,1800.0,119.0,1400.0
Muthoot FinCorp,4.5,13500.0,10000.0,2400.0,59.0,325.0
PwC,3.3,13300.0,130000.0,1600.0,1500.0,883.0
Mahindra & Mahindra,4.0,12600.0,41900.0,916.0,1.0,1200.0
HDFC Life,3.8,12600.0,34000.0,848.0,221.0,654.0
Infosys BPM,3.5,12500.0,78700.0,1100.0,38.0,1200.0
DXC Technology,3.6,12300.0,75500.0,914.0,72.0,1100.0
Bandhan Bank,3.7,11800.0,28400.0,791.0,,588.0
Digitide Solutions,3.4,10700.0,27300.0,602.0,335.0,787.0
Yes Bank,3.7,10600.0,43400.0,585.0,190.0,639.0
Mphasis,3.3,10600.0,75600.0,958.0,53.0,876.0
Tata Steel,4.0,10300.0,34900.0,1100.0,,693.0
Quess,3.8,10100.0,32000.0,557.0,18.0,457.0
Asian Paints,3.9,10000.0,26700.0,912.0,83.0,934.0
UltraTech Cement,4.1,9900.0,25300.0,853.0,80.0,676.0
Maruti Suzuki,4.1,9900.0,29600.0,838.0,665.0,1000.0
Startek,3.0,9900.0,25100.0,686.0,245.0,713.0
Bajaj Finance,3.9,9700.0,23700.0,471.0,9300.0,534.0
Paytm,3.2,9700.0,35200.0,926.0,956.0,574.0
Shriram Finance,3.9,9500.0,16200.0,481.0,6.0,84.0
Sutherland Global Services,3.3,9400.0,36900.0,839.0,333.0,944.0
Equitas Small Finance Bank,4.3,9200.0,14000.0,1000.0,54.0,465.0
Coforge,3.3,9200.0,69200.0,991.0,339.0,442.0
Wells Fargo,3.6,9100.0,67200.0,718.0,141.0,907.0
Cipla,4.1,8900.0,26900.0,631.0,44.0,902.0
